rating,review_text,review_len,churn_risk
5,really good and easy to use. had zero issues with setting up an account and totally worth using,95,0
5,easy to use!,12,0
1,"after updating it, the app crashes everytime i open it. it doesn't work for me anymore",86,1
5,greta app,9,0
5,very nice banking app,21,0
5,"excellent services, wherever i am in the world.",47,0
1,got account with them got scammed off 120 cant speak to anyone cant upload the evidence and speak to bots im still waiting week on and they are telling me can be upto 45 day befor they reach decision or maybe and big maybe i get the money back pls dont use this bank awful service and for the reply i've just got the in app are like a waste off time cos spoke to over 10 people about this and uve asked me to go to facebook and pm u and you don't accept pm messages your such joke off bank disgusting,500,1
1,horrible account creation...unable to go back and correct mistake plus could not get out of account creation to start over.,123,1
5,worth it,8,0
5,works well.,11,0
5,good,4,0
5,easy and good 😊,15,0
5,excellent,9,0
1,"after confirming a mbway purchase inside the app, the app keeps forcely auto-opening the mbway interface everytime it's opened, and when you use the arrow to go back to the main screen, it auto-opens the second after, thus making the app currently unusable. the issue stopped. it seems it lasts during the 5 minutes of waiting for approval of mbway (despite the purchase been already approved).",394,1
5,very useful 👌🏾,14,0
5,convenience at its best,23,0
5,app stoped to work after an update. my phone is rooted and it will stay that way. please update your application to support rooted phones also.,143,0
5,easy to use,11,0
5,best banking app helping me make money,38,0
5,ideal and super user friendly app,33,0
2,"i referred a friend to revolut because there was a promotion promising a €60 reward. unfortunately, i did not receive anything. after 10 days, we were informed that the reward was no longer valid because my friend did not complete three purchases in time. the time period was very short and not clearly explained. there was no obvious information about this requirement when i made the referral. he also paid €10 for the card, which ended up being useless since the reward was not granted.",489,1
5,"so far and for more than 10 years already, the financial app that worked perfectly for me, especially while traveling but also for certain currency exchanges and other operations. good, friendly, reliable, nice!",211,0
5,it's so easy and so quick. i love it.,37,0
5,very safe transactions and quick to learn app,45,0
5,fiat currency (eur) is still here and revolut is the best way i know to handle it. thanks!,90,0
5,exceptional,11,0
5,great so far.,13,0
4,"i mean its good enough, it does what its adevrtised for and it looks slick, but let me get an ai that attempts to determine what would be wise to invest in and we all get a lot of money",185,0
5,fantastic online banking. simple to use with many great features. get revolut today!,84,0
5,a good servics,14,0
5,"i’ve been using revolut and it’s been great. the app is easy to use, transfers are instant, and the exchange rates are very good. everything is clear and convenient. highly recommended!",185,0
5,verry nice 👍,12,0
5,very good,9,0
4,very good app,13,0
5,🤑,1,0
5,👍,1,0
5,very handy,10,0
5,it's easy service,17,0
5,so handy especially with teenagers and keeping track of my money,64,0
5,"very handy, transferring money is very easy with a lot of options and currencies. had a issue with one purchase and the dispute was handled very fast on revoluts end.",166,0
5,"cool interfaces, quick and easy to use",38,0
5,👍,1,0
2,some of these apps make it so complicated to cancel my subscription and for them to refund my first payment of $9.99,116,1
5,very good app,13,0
5,"very convenient app. all accounts, professional, savings, trading & crypto all on one handy application. 👍",106,0
5,excellent app,13,0
5,good,4,0
5,"easy to use, faster transfer and the only card i will use on holiday",68,0
5,easy for travel,15,0
5,perfect for all kind of uses. excellent support when needed!,60,0
1,they closed my acc for no reason.,33,1
5,"as a college student who uses revolut to save money on the side, it is very helpful as i cant manage my spending at all.",120,0
5,great service!,14,0
5,just staring off still nervous 💗 will keep trying to get better,63,0
5,very handy app,14,0
5,amazing,7,0
1,stop spamming me with notifications,35,1
5,this app is too much much good every month i send money this app bravo 👏,72,0
1,an abosulte joke of a bank. deposited money into a new account i set up. then tried to take money out and they wouldnt let me. cant speak to anyone in person and just end up speaking to a robot or agent with set answers to give out. they are currently holding a large some of money in a restricted account that i have no access too. i cannot use the money which i urgently need.,378,1
5,great way to get into trading with just a few pounds. go on have a dabble x,75,0
5,best bank,9,0
5,easy to use and love all the personalisations,45,0
5,mantap,6,0
5,perfect,7,0
5,i like revolut👍,15,0
5,best of the best,16,0
5,best international app for everybody and everything,51,0
1,not working properly,20,1
5,brilliant banking app,21,0
5,the best out there,18,0
5,"using revolut (metal) for like 3 years now. the best and easy to use bank i ever had, as i travel alot. had some little issues here and there (who doesnt?!), but the support always managed the problem very well and fast. very happy with them !",243,0
5,"i love it, i would suggest adding a budget calculator to your app similar to caltape , it would make revolut even more usable",125,0
5,very good 👍,11,0
5,very happu,10,0
5,"i recommend to all , specific to credit card usage.... best from the rest",73,0
5,very convenient in every way,28,0
5,je me suis créé un compte pour voyager à l'étranger et bien m'en a coûté. le compte premium me permet de ne pas stresser avec les cartes sim quand j'arrive dans un nouveau pays et pour retirer de l'argent sans frais c'est bien pratique aussi!,242,0
5,"excellent for saving and transferring money, very user-friendly 👏",65,0
5,all good,8,0
5,best app to send money,22,0
1,"a real bank is about silence and solidity. revolut is not a bank, but a bunch of neurotics.",91,1
5,amazing,7,0
5,very good experience,20,0
5,pretty much what you need to manage your money in today's world,63,0
5,good service,12,0
5,works well. haven't encountered bugs or any inconveniences yet.,63,0
5,"great for travel 👍, used for both periods of up to 6 months abroad and for shorter periods of travel as well. can pre covert currencies so you don't get an exchange mark up at the weekend. always selected to pay in euros when your in europe on the card machines.",262,0
5,so easy to use. brilliant when travelling abroad.,49,0
5,easy to use 👌👌,14,0
5,very happy with this service,28,0
5,"love using it, so handy.",24,0
4,is nice,7,0
5,ok😎🙏,4,0
5,safe easy reliable. gives me peace of mind.,43,0
5,very convenient. i satisfied functions this app provided.,57,0
5,my favourite bank. i recommend it. ❤️,37,0
5,very good app for setting aside different pockets for saving for different items u would like or different funds. very happy with it.,133,0
5,makes life much easier plus i like revpoints,44,0
5,"does everything i need it to, great app",39,0
5,great,5,0
4,easy to use,11,0
5,app could be more intuitive,27,0
5,its good and helpful,20,0
5,absolutely excellent bank loved them and have since i joined.. always someone there in 24/7 chat for help a truly reliable bank since i joined in back in 2022 💪🏼❤️,163,0
5,excellent,9,0
5,excellent thank u,17,0
5,happy so far,12,0
